HIP,RA,Dec,pmRA,pmDec
113186,343.80696948,8.81616592,81.88,29.03
113246,343.9870813,-32.53962827,10.84,30.32
113368,344.41269372,-29.62223615,329.22,-164.22
115227,350.08576289,5.38130731,78.53,-59.35
115250,350.15934413,23.74033698,30.48,-9.14
115438,350.74261152,-20.10058008,-120.27,-96.7
910,2.81607181,-15.46797744,-84.2,-269.31
1067,3.30897012,15.1835959,4.7,-8.24
1170,3.66006652,-18.93286561,-27.15,-73.78
2912,9.22020689,33.71934362,15.23,-3.56
2920,9.24285251,53.89690937,17.77,-9.15
3031,9.63894077,29.31175144,-229.41,-254.08
3092,9.83198236,30.86102393,115.38,-83.05
3179,10.12683548,56.53733109,50.36,-32.17
4906,15.73586845,7.89013546,-80.57,25.88
5131,16.42064722,21.47318139,44.3,-14.32
5310,16.98818032,20.73911258,85.43,-85.81
6999,22.52542734,47.00727374,0.64,-42.53
7007,22.5463128,6.14382046,293.23,-46.36
7097,22.87087261,15.34582301,25.73,-3.29
9110,29.33772674,17.81753177,34.28,-23.71
9312,29.90849238,64.62160195,35.76,-15.22
9347,30.00128317,-21.07783155,133.01,-24.53
11345,36.48752198,-12.29047964,-11.71,-11.37
13209,42.49596812,27.26050706,65.47,-116.59
13254,42.64608204,38.31864364,195.68,-108.92
13268,42.67420868,55.89549611,16.64,-13.76
13288,42.7596731,-21.00401932,-39.0,-16.63
13327,42.87327848,15.08207065,31.26,-23.29
15197,48.95843559,-8.81972986,-3.82,45.52
15474,49.87917471,-21.75786384,51.35,32.2
17351,55.70856433,-37.31351844,-90.81,-71.42
17358,55.73126161,47.78755139,23.83,-41.93
17378,55.81209088,-9.76339465,-91.71,742.23
17448,56.07971679,32.28824817,8.11,-10.32
17499,56.2189055,24.11333922,21.55,-44.92
17529,56.29846606,42.57854862,-14.59,1.75
17531,56.30206043,24.46727761,19.35,-41.63
17593,56.53556491,-12.10158939,55.59,60.03
19343,62.1653782,47.71251275,20.19,-33.26
19513,62.70775376,26.48095174,-30.81,-36.1
19587,62.96641752,-6.83758114,11.92,81.28
21393,68.88766065,-30.56234148,-48.92,-12.75
21402,68.913584,10.16078965,44.89,-52.42
21421,68.9801611,16.50930139,62.78,-189.36
21444,69.07975664,-3.35245903,1.73,-4.54
21476,69.1726226,41.26480803,-5.42,-19.19
21589,69.53942698,12.51083801,101.73,-14.9
23364,75.35976995,-7.17396548,-0.23,5.16
23416,75.49222568,43.82330836,0.18,-2.31
23453,75.61952888,41.07583744,8.88,-21.43
23497,75.7739472,21.58996241,68.94,-40.85
23607,76.14228959,15.40410527,18.4,-30.99
23685,76.3652677,-22.37103258,19.27,-72.35
25428,81.57297249,28.60745001,23.28,-174.22
25473,81.70928488,3.09567448,0.34,-1.11
25539,81.90868809,21.93696527,1.75,-6.96
25541,81.91202636,34.4758921,-1.44,-38.81
25606,82.06134664,-20.75944097,-5.03,-85.92
27468,87.25403003,24.5675349,12.07,-8.16
27628,87.73997037,-35.76830865,55.74,404.68
27654,87.83039904,-20.87908866,228.96,-647.96
27673,87.87249592,39.14848031,8.48,0.39
27810,88.27867158,-33.80136075,-4.52,32.4
27830,88.33185862,27.61226208,3.82,-9.58
29655,93.71940501,22.50679887,-62.53,-10.24
29696,93.84453777,29.49807609,-70.9,-261.73
29704,93.85469975,16.14317514,1.61,-12.66
29800,94.11091508,12.27216306,83.07,186.28
29807,94.13806515,-35.1405187,0.39,87.58
31592,99.17098928,-19.2558792,62.32,-69.91
31681,99.42792124,16.39925217,-2.04,-66.92
31685,99.44029726,-43.19593364,-0.43,-3.99
31700,99.47259046,-18.23747772,-6.86,-8.47
32759,102.46024639,-32.5084777,-9.18,4.04
33579,104.65645182,-28.97208374,2.63,2.29
33977,105.75613571,-23.83329091,-1.56,4.28
35846,110.86879684,25.05053128,-66.59,-28.44
35904,111.02376056,-29.3031036,-3.76,6.66
36046,111.43165048,27.7980804,-121.28,-84.43
37677,115.95195447,-28.95482577,-4.57,3.88
37740,116.11189245,24.3979926,-22.45,-56.24
37819,116.31373311,-37.96858397,-10.77,5.97
37826,116.32895983,28.02619862,-625.69,-45.95
37908,116.53103014,18.51004352,-75.55,-51.53
38070,117.02153444,-25.93716858,-10.22,4.92
39757,121.88603686,-24.30432404,-83.29,46.38
39780,121.94106543,21.58181596,23.08,-67.23
39953,122.383126,-47.33658771,-5.93,9.9
40091,122.83955625,-39.61854551,-8.91,3.1
40096,122.85788573,-42.9872777,-5.33,4.6
41822,127.89887525,18.09442038,-60.05,-56.5
41909,128.17707063,20.44116182,-44.65,-44.71
42080,128.65050837,65.14517019,-47.06,-42.5
43813,133.84844309,5.94556331,-99.76,14.65
43825,133.88154271,-27.68187118,83.0,-100.92
44066,134.62175702,11.85770096,41.45,-29.22
44127,134.80189116,48.04182647,-441.12,-215.21
44191,135.02253575,-41.25360521,-40.67,54.59
45941,140.52840967,-55.01066799,-10.72,11.24
46146,141.16357964,26.1823241,-31.13,-48.06
47908,146.46280429,23.77425466,-46.09,-9.57
48319,147.74732429,59.03873553,-294.45,-151.75
50335,154.1725706,23.41731066,19.84,-7.3
50372,154.27413109,42.91436491,-170.11,-42.64
52085,159.64563744,-16.87657185,-98.57,26.75
54061,165.93195289,61.7510332,-136.46,-35.25
54182,166.25428061,7.33600733,-344.41,-47.4
54204,166.33294757,-27.29361236,-190.74,-6.87
56211,172.8509187,69.33107594,-41.14,-18.79
56343,173.25048102,-31.85762516,-209.09,-41.6
58188,179.0039732,-17.15082863,-49.07,-8.23
62267,191.40440814,7.67332578,-108.93,4.53
62434,191.93026305,-59.68876362,-48.24,-12.82
64407,198.01476264,-16.19860153,96.17,-287.23
66657,204.97191001,-53.46639378,-14.6,-12.79
68523,210.43122999,-45.60342079,3.89,-20.94
68702,210.95585201,-60.37303931,-33.96,-25.06
68756,211.09729071,64.37585051,-56.52,17.19
70497,216.2991518,51.85074357,-236.06,-399.07
70576,216.54505337,-45.37927638,13.55,-6.35
70692,216.88142952,75.6959929,8.71,22.09
70755,217.05057524,-2.22795719,-140.94,-2.92
72489,222.32938051,-14.14902182,-65.89,-14.79
72607,222.67636006,74.15550491,-32.29,11.91
72622,222.71963807,-16.04177818,-105.69,-69.0
74596,228.62149336,29.16429476,-69.99,28.32
74604,228.65549679,-31.51912119,-9.72,1.83
74666,228.87567917,33.31483347,84.84,-110.57
74785,229.25172845,-9.3829174,-96.39,-20.76
74857,229.45766251,-30.14867319,-8.71,-4.47
74911,229.63342085,-47.87527178,-31.74,-32.82
76600,234.66403964,-29.77775386,-22.1,-26.54
76742,235.07039743,-23.81807829,-15.62,-8.18
76852,235.38773012,19.67040059,-59.86,-43.23
76880,235.48665872,-19.67882804,-33.21,-104.33
76952,235.68568764,26.29563742,-112.52,50.7
78727,nan,nan,nan,nan
78820,241.35929462,-19.80545336,-6.75,-24.89
78918,241.64810321,-36.80228846,-15.84,-31.06
78933,241.70177456,-20.66919247,-10.55,-23.73
79043,242.01885653,17.04698022,-34.29,-5.46
80763,247.35192046,-26.43200249,-10.16,-23.21
80816,247.55499986,21.48961328,-98.43,-14.49
80883,247.7284288,1.98392313,-31.37,-73.0
80894,247.78486581,-16.61273261,-44.57,-38.04
80975,248.03416357,-21.46638977,20.21,36.23
82729,253.64585529,-42.36131277,-126.55,-227.77
82860,254.00704079,65.1347956,238.05,50.84
83000,254.41707231,9.37503268,-293.03,-9.7
83081,254.65504861,-55.99014085,-18.31,-35.29
84835,260.08800741,46.24077993,-29.83,40.92
84880,260.20692137,-12.84687539,42.75,2.72
84893,260.2515588,-21.11293262,262.01,-204.74
84970,260.50241,-24.99954543,-8.84,-23.64
85112,260.92060269,37.1459463,-38.58,9.19
86974,266.61469538,27.72067625,-291.42,-750.0
87072,266.89010281,-27.83078848,-3.62,-10.67
87073,266.89617277,-40.12699753,0.44,-6.4
87108,266.97316882,2.70727617,-23.15,-75.12
90982,278.3757739,-42.31250982,32.48,-21.03
91262,279.23473511,38.7836918,201.02,287.46
92989,284.16873801,-37.34324095,8.79,-23.68
93085,284.43250651,-21.1066543,34.91,-12.33
93174,284.68073845,-37.107357,-132.25,-110.45
93194,284.73592771,32.68955742,-2.76,1.77
93279,285.00344017,32.14551421,6.13,9.75
95081,290.16704983,65.71453144,14.09,41.61
95168,290.41816155,-17.84719749,-26.95,22.24
