Name,PtolLon,PtolLat,HIP
13,233.66666666666666,2.25,84893
14,233.0,-2.25,84405
15,234.33333333333334,-1.5,84970
16,235.0,-0.3333333333333333,85340
17,235.83333333333334,-0.25,85755
18,237.16666666666666,1.0,86736
19,222.16666666666666,11.833333333333334,81377
20,221.66666666666666,5.333333333333333,80894
21,220.66666666666666,3.1666666666666665,80569
22,219.83333333333334,1.6666666666666665,80343
23,222.33333333333334,0.6666666666666666,80975
24,220.66666666666666,-0.75,80473
25,242.0,28.166666666666668,88149
26,242.66666666666666,26.333333333333332,88192
27,243.0,25.0,88290
28,243.66666666666666,27.0,88601
29,244.66666666666666,33.0,88771
1,198.83333333333334,38.0,76852
2,201.66666666666666,40.0,77661
3,204.33333333333334,36.0,78072
4,202.0,34.25,77233
5,201.33333333333334,37.25,77450
6,203.16666666666666,42.5,78554
7,201.66666666666666,29.25,76276
8,204.83333333333334,26.5,77257
9,204.33333333333334,25.333333333333332,77070
10,206.33333333333334,24.0,77622
11,208.83333333333334,16.5,77516
12,218.16666666666666,13.25,80628
13,233.66666666666666,10.5,84880
14,237.0,8.5,86263
15,237.83333333333334,10.833333333333334,86565
16,243.66666666666666,20.0,88175
17,248.66666666666666,21.166666666666668,89962
18,258.3333333333333,27.0,92946
1,280.1666666666667,39.333333333333336,98337
2,276.6666666666667,39.166666666666664,97496
3,275.8333333333333,39.5,97365
4,274.6666666666667,39.0,96757
5,273.3333333333333,38.666666666666664,96837
1,277.1666666666667,26.833333333333332,98823
2,274.8333333333333,27.166666666666668,98036
3,273.8333333333333,29.166666666666668,97649
4,274.6666666666667,30.0,97675
5,273.1666666666667,31.5,97278
6,276.0,31.5,98103
7,269.6666666666667,28.666666666666668,96229
8,271.1666666666667,26.666666666666668,96665
9,262.1666666666667,36.666666666666664,93747
10,273.6666666666667,21.666666666666668,97804
11,278.8333333333333,19.166666666666668,99473
12,266.0,25.0,95501
13,268.5,20.0,96468
14,269.6666666666667,15.5,96483
15,261.1666666666667,18.166666666666668,93805
1,287.6666666666667,29.166666666666668,101421
2,288.6666666666667,29.0,101800
3,288.6666666666667,27.75,101916
4,288.5,32.0,101769
5,290.1666666666667,33.833333333333336,101958
6,291.3333333333333,32.0,102281
7,293.1666666666667,33.166666666666664,102532
8,287.5,30.25,101483
9,287.5,31.833333333333332,101589
10,289.0,31.5,101882
1,296.3333333333333,20.5,104987
2,298.0,20.666666666666668,105570
3,296.3333333333333,25.5,104521
4,297.6666666666667,25.0,104858
1,347.8333333333333,26.0,677
2,342.1666666666667,12.5,1067
3,332.1666666666667,31.0,113881
4,326.6666666666667,19.666666666666668,113963
5,334.5,25.5,115250
6,335.0,25.0,115623
7,329.0,35.0,112158
8,328.5,34.5,112051
9,326.1666666666667,29.0,112440
10,327.0,29.5,112748
11,318.8333333333333,18.0,112029
12,320.5,19.0,112447
